cell data,status
456,1
464,1
671,1
911,1
1,1
24,1
561,1
854,1
1,1
894,1
96,1
731,1
1,1
915,1
1,1
644,1
2518,1
518,1
475,1
341,1
1141,1
4252,1
1,1
611,1
1,1
653,1
343,1
583,1
2194,1
545,1
941,1
865,1
873,1
541,1
129,1
1,1
1116,1
1148,1
481,1
647,1
1,1
327,1
1,1
82,1
451,1
694,1
1122,1
482,1
1,1
1137,1
1,1
219,1
1224,1
515,1
1119,1
697,1
697,1
2981,1
1173,1
911,1
1956,1
1159,1
1248,1
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
